Time,Displacement,Tension,Resistance,cycle
24.02,0,-3.1,8.46,Stretching
24.03,0,-3.1,8.46,Stretching
24.04,0,-3,8.46,Stretching
24.05,0.01,-3.1,8.39,Stretching
24.06,0.03,-2.8,8.39,Stretching
24.07,0.04,-2.5,8.46,Stretching
24.09,0.05,-2.4,8.46,Stretching
24.1,0.07,-2.3,8.52,Stretching
24.11,0.08,-1.8,8.46,Stretching
24.12,0.09,-1.6,8.46,Stretching
24.14,0.11,-1.6,8.46,Stretching
24.15,0.12,-1.3,8.52,Stretching
24.16,0.13,-1.1,8.52,Stretching
24.17,0.14,-1.2,8.46,Stretching
24.19,0.15,-1.2,8.52,Stretching
24.2,0.17,-0.8,8.52,Stretching
24.21,0.18,-0.4,8.52,Stretching
24.22,0.19,-0.1,8.52,Stretching
24.23,0.2,0.1,8.58,Stretching
24.25,0.22,0.2,8.52,Stretching
24.26,0.23,0.2,8.52,Stretching
24.27,0.25,0.3,8.52,Stretching
24.28,0.26,0.4,8.52,Stretching
24.3,0.27,0.5,8.58,Stretching
24.31,0.28,0.7,8.58,Stretching
24.32,0.29,0.8,8.58,Stretching
24.33,0.31,0.9,8.58,Stretching
24.35,0.32,1,8.58,Stretching
24.36,0.33,1.1,8.58,Stretching
24.37,0.35,1.2,8.65,Stretching
24.38,0.35,1.3,8.71,Stretching
24.4,0.37,1.4,8.71,Stretching
24.41,0.38,1.5,8.71,Stretching
24.42,0.4,1.9,8.78,Stretching
24.43,0.4,1.8,8.84,Stretching
24.44,0.42,1.9,8.78,Stretching
24.46,0.44,2.2,8.84,Stretching
24.47,0.45,2.3,8.84,Stretching
24.48,0.46,2.5,8.91,Stretching
24.5,0.47,2.5,8.91,Stretching
24.51,0.49,2.7,8.97,Stretching
24.52,0.5,2.9,8.91,Stretching
24.53,0.51,3.1,8.97,Stretching
24.54,0.52,3,8.97,Stretching
24.56,0.54,2.9,8.97,Stretching
24.57,0.55,3.1,9.04,Stretching
24.58,0.55,3,8.97,Stretching
24.59,0.57,3.3,9.04,Stretching
24.61,0.59,3.4,9.04,Stretching
24.62,0.6,3.5,9.1,Stretching
24.63,0.61,3.7,9.1,Stretching
24.64,0.63,3.9,9.1,Stretching
24.65,0.63,4,9.1,Stretching
24.67,0.65,4.2,9.17,Stretching
24.68,0.67,4.4,9.17,Stretching
24.69,0.68,4.4,9.24,Stretching
24.7,0.69,4.1,9.3,Stretching
24.72,0.7,4.3,9.3,Stretching
24.73,0.71,4.5,9.3,Stretching
24.74,0.73,4.7,9.3,Stretching
24.75,0.74,4.6,9.43,Stretching
24.77,0.75,4.7,9.37,Stretching
24.78,0.76,4.8,9.37,Stretching
24.79,0.78,4.8,9.43,Stretching
24.8,0.8,5,9.43,Stretching
24.82,0.81,5,9.57,Stretching
24.83,0.82,5,9.5,Stretching
24.84,0.83,5.3,9.57,Stretching
24.85,0.85,5.5,9.57,Stretching
24.87,0.86,5.5,9.57,Stretching
24.88,0.88,5.7,9.57,Stretching
24.89,0.88,5.5,9.7,Stretching
24.9,0.9,5.6,9.63,Stretching
24.92,0.91,5.6,9.7,Stretching
24.93,0.93,5.8,9.7,Stretching
24.94,0.95,5.8,9.77,Stretching
24.95,0.96,6,9.77,Stretching
24.96,0.97,6.2,9.83,Stretching
24.98,0.98,6.1,9.83,Stretching
24.99,1,6.1,9.83,Stretching
25,1.01,6.2,9.83,Stretching
25.01,1.02,6.2,9.9,Stretching
25.03,1.04,6.3,9.9,Stretching
