Time,Displacement,Tension,Resistance,Stutus
0,0.01,-10.3,6.96,Stretching
0.01,0,-10.6,7.02,Stretching
0.02,0.01,-10.9,6.96,Stretching
0.03,0.03,-10.4,7.02,Stretching
0.04,0.05,-9.9,7.08,Stretching
0.05,0.05,-9.8,7.02,Stretching
0.07,0.07,-9.4,7.08,Stretching
0.08,0.08,-9,7.02,Stretching
0.09,0.09,-8.8,7.15,Stretching
0.1,0.11,-8.6,7.02,Stretching
0.12,0.12,-8.6,7.02,Stretching
0.13,0.13,-8.3,7.08,Stretching
0.14,0.14,-7.7,7.02,Stretching
0.15,0.15,-7.5,7.02,Stretching
0.17,0.17,-7.5,7.08,Stretching
0.18,0.18,-7.4,7.02,Stretching
0.19,0.19,-7.3,7.02,Stretching
0.2,0.21,-7,6.96,Stretching
0.22,0.22,-6.6,7.02,Stretching
0.23,0.23,-6.7,7.02,Stretching
0.24,0.25,-6.5,7.08,Stretching
0.25,0.25,-6.3,7.08,Stretching
0.26,0.27,-6.1,7.15,Stretching
0.28,0.28,-5.6,7.08,Stretching
0.29,0.29,-5.7,7.15,Stretching
0.3,0.31,-5.8,7.15,Stretching
0.31,0.32,-5.7,7.15,Stretching
0.33,0.34,-5.6,7.08,Stretching
0.34,0.35,-5.2,7.08,Stretching
0.35,0.36,-5.2,7.02,Stretching
0.36,0.37,-4.9,7.08,Stretching
0.37,0.38,-4.8,7.15,Stretching
0.39,0.4,-4.8,7.08,Stretching
0.4,0.41,-4.8,7.08,Stretching
0.41,0.42,-4.6,7.08,Stretching
0.43,0.44,-4.3,7.15,Stretching
0.44,0.45,-3.8,7.08,Stretching
0.45,0.46,-3.8,7.21,Stretching
0.46,0.47,-3.9,7.15,Stretching
0.47,0.49,-3.8,7.21,Stretching
0.49,0.5,-3.8,7.15,Stretching
0.5,0.51,-3.4,7.27,Stretching
0.51,0.52,-3.3,7.21,Stretching
0.52,0.54,-3.3,7.27,Stretching
0.54,0.55,-3.3,7.33,Stretching
0.55,0.56,-3.3,7.33,Stretching
0.56,0.57,-3,7.33,Stretching
0.57,0.58,-3,7.33,Stretching
0.59,0.6,-2.6,7.39,Stretching
0.6,0.61,-2.5,7.51,Stretching
0.61,0.62,-2.3,7.51,Stretching
0.62,0.64,-2.1,7.51,Stretching
0.63,0.65,-2.3,7.58,Stretching
0.65,0.66,-2,7.64,Stretching
0.66,0.68,-1.7,7.7,Stretching
0.67,0.69,-1.9,7.7,Stretching
0.68,0.7,-1.7,7.76,Stretching
0.7,0.71,-1.5,7.82,Stretching
0.71,0.73,-1.5,7.76,Stretching
0.72,0.74,-1.4,7.95,Stretching
0.73,0.75,-1.5,8.14,Stretching
0.75,0.77,-1.3,8.14,Stretching
0.76,0.78,-1.5,8.33,Stretching
0.77,0.8,-1.4,8.27,Stretching
0.78,0.81,-1.2,8.27,Stretching
0.8,0.82,-0.9,8.33,Stretching
0.81,0.83,-0.5,8.46,Stretching
0.82,0.85,-0.4,8.58,Stretching
0.83,0.86,-0.4,8.71,Stretching
0.84,0.88,-0.5,8.71,Stretching
0.86,0.89,-0.3,8.78,Stretching
0.87,0.9,-0.3,8.97,Stretching
0.88,0.91,-0.2,8.84,Stretching
0.89,0.93,0,8.97,Stretching
0.91,0.95,-0.2,9.04,Stretching
0.92,0.95,0,9.17,Stretching
0.93,0.97,0.3,9.24,Stretching
0.94,0.98,0.3,9.3,Stretching
0.96,1,0.5,9.37,Stretching
0.97,1.01,0.5,9.43,Stretching
0.98,1.02,0.5,9.5,Stretching
0.99,1.03,0.4,9.5,Stretching
1.01,1.05,0.6,9.57,Stretching
1.02,1.06,0.7,9.57,Stretching
1.03,1.08,0.7,9.7,Stretching
