Pre,Displacement,Tension,Resistance,Stutus
0,0,1.1,,
0,0,1.2,,
0,0,1.1,,
0,0.02,1.4,,
0.02,0.03,1.9,,
0.03,0.05,1.9,,
0.05,0.05,1.9,,
0.05,0.07,2.1,,
0.07,0.08,2.6,,
0.08,0.1,2.8,,
0.1,0.11,2.9,,
0.11,0.12,3.2,,
0.12,0.13,3.3,,
0.13,0.14,3.5,,
0.14,0.16,3.7,,
0.16,0.17,3.7,,
0.17,0.19,3.7,,
0.19,0.19,4.1,,
0.19,0.21,4.2,,
0.21,0.22,4.1,,
0.22,0.23,4.3,,
0.23,0.25,4.5,,
0.25,0.26,4.7,,
0.26,0.27,4.8,,
0.27,0.28,5.1,,
0.28,0.29,5,,
0.29,0.31,5.1,,
0.31,0.32,5.3,,
0.32,0.34,5.3,,
0.34,0.35,5.4,,
0.35,0.35,5.8,,
0.35,0.37,5.8,,
0.37,0.38,5.9,,
0.38,0.4,6.3,,
0.4,0.4,6.4,,
0.4,0.42,6.4,,
0.42,0.44,6.2,,
0.44,0.45,6.3,,
0.45,0.46,6.7,,
0.46,0.47,6.8,,
0.47,0.49,6.9,,
0.49,0.5,7.2,,
0.5,0.51,7.2,,
0.51,0.52,7.3,,
0.52,0.54,7.4,,
0.54,0.55,7.5,,
0.55,0.56,7.7,,
0.56,0.57,7.5,,
0.57,0.59,7.5,,
0.59,0.6,8,,
0.6,0.61,8.3,,
0.61,0.63,8.2,,
0.63,0.63,8.3,,
0.63,0.65,8.1,,
0.65,0.67,8.5,,
0.67,0.68,8.6,,
0.68,0.69,8.6,,
0.69,0.7,8.8,,
0.7,0.71,8.8,,
0.71,0.73,8.9,,
0.73,0.74,8.9,,
0.74,0.75,8.9,,
0.75,0.76,8.9,,
0.76,0.78,9,,
0.78,0.8,9.2,,
0.8,0.81,9.5,,
0.81,0.82,9.6,,
0.82,0.83,9.6,,
0.83,0.85,10,,
0.85,0.86,10,,
0.86,0.88,9.6,,
0.88,0.88,9.8,,
0.88,0.9,10.2,,
0.9,0.92,10.2,,
0.92,0.93,10.2,,
0.93,0.95,10.3,,
0.95,0.96,10.3,,
0.96,0.97,10.6,,
0.97,0.98,10.6,,
0.98,1,10.6,,
1,1.01,10.7,,
1.01,1.02,11,,
1.02,1.04,11.3,,
1.04,1.05,11,,
1.05,1.06,11,,
1.06,1.08,11.1,,
1.08,1.09,10.9,,
1.09,1.1,11.2,,
1.1,1.12,11.4,,
1.12,1.12,11.4,,
1.12,1.14,11.3,,
1.14,1.15,11.2,,
1.15,1.16,11.5,,
1.16,1.17,11.7,,
1.17,1.19,11.8,,
1.19,1.2,11.9,,
1.2,1.21,12.1,,
1.21,1.23,12.3,,
1.23,1.24,12.5,,
1.24,1.25,12.5,,
1.25,1.26,12.4,,
