Pre,Displacement,Tension,Resistance,Stutus,,Pre
0,0,1.1,,,,8.02
0,0,1.2,,,,8.03
0,0,1.1,,,,8.04
0,0.02,1.4,,,,8.05
0.02,0.03,1.9,,,,8.06
0.03,0.05,1.9,,,,8.07
0.05,0.05,1.9,,,,8.09
0.05,0.07,2.1,,,,8.1
0.07,0.08,2.6,,,,8.11
0.08,0.1,2.8,,,,8.12
0.1,0.11,2.9,,,,8.14
0.11,0.12,3.2,,,,8.15
0.12,0.13,3.3,,,,8.16
0.13,0.14,3.5,,,,8.17
0.14,0.16,3.7,,,,8.19
0.16,0.17,3.7,,,,8.2
0.17,0.19,3.7,,,,8.21
0.19,0.19,4.1,,,,8.22
0.19,0.21,4.2,,,,8.23
0.21,0.22,4.1,,,,8.25
0.22,0.23,4.3,,,,8.26
0.23,0.25,4.5,,,,8.27
0.25,0.26,4.7,,,,8.28
0.26,0.27,4.8,,,,8.3
0.27,0.28,5.1,,,,8.31
0.28,0.29,5,,,,8.32
0.29,0.31,5.1,,,,8.33
0.31,0.32,5.3,,,,8.35
0.32,0.34,5.3,,,,8.36
0.34,0.35,5.4,,,,8.37
0.35,0.35,5.8,,,,8.38
0.35,0.37,5.8,,,,8.4
0.37,0.38,5.9,,,,8.41
0.38,0.4,6.3,,,,8.42
0.4,0.4,6.4,,,,8.43
0.4,0.42,6.4,,,,8.44
0.42,0.44,6.2,,,,8.46
0.44,0.45,6.3,,,,8.47
0.45,0.46,6.7,,,,8.48
0.46,0.47,6.8,,,,8.49
0.47,0.49,6.9,,,,8.51
0.49,0.5,7.2,,,,8.52
0.5,0.51,7.2,,,,8.53
0.51,0.52,7.3,,,,8.54
0.52,0.54,7.4,,,,8.56
0.54,0.55,7.5,,,,8.57
0.55,0.56,7.7,,,,8.58
0.56,0.57,7.5,,,,8.59
0.57,0.59,7.5,,,,8.61
0.59,0.6,8,,,,8.62
0.6,0.61,8.3,,,,8.63
0.61,0.63,8.2,,,,8.64
0.63,0.63,8.3,,,,8.65
0.63,0.65,8.1,,,,8.67
0.65,0.67,8.5,,,,8.68
0.67,0.68,8.6,,,,8.69
0.68,0.69,8.6,,,,8.71
0.69,0.7,8.8,,,,8.72
0.7,0.71,8.8,,,,8.73
0.71,0.73,8.9,,,,8.74
0.73,0.74,8.9,,,,8.75
0.74,0.75,8.9,,,,8.77
0.75,0.76,8.9,,,,8.78
0.76,0.78,9,,,,8.79
0.78,0.8,9.2,,,,8.8
0.8,0.81,9.5,,,,8.81
0.81,0.82,9.6,,,,8.83
0.82,0.83,9.6,,,,8.84
0.83,0.85,10,,,,8.85
0.85,0.86,10,,,,8.87
0.86,0.88,9.6,,,,8.88
0.88,0.88,9.8,,,,8.89
0.88,0.9,10.2,,,,8.9
0.9,0.92,10.2,,,,8.92
0.92,0.93,10.2,,,,8.93
0.93,0.95,10.3,,,,8.94
0.95,0.96,10.3,,,,8.95
0.96,0.97,10.6,,,,8.96
0.97,0.98,10.6,,,,8.98
0.98,1,10.6,,,,8.99
1,1.01,10.7,,,,9
1.01,1.02,11,,,,9.01
1.02,1.04,11.3,,,,9.02
1.04,1.05,11,,,,9.04
1.05,1.06,11,,,,9.05
1.06,1.08,11.1,,,,9.06
1.08,1.09,10.9,,,,9.08
1.09,1.1,11.2,,,,9.09
1.1,1.12,11.4,,,,9.1
1.12,1.12,11.4,,,,9.11
1.12,1.14,11.3,,,,9.13
1.14,1.15,11.2,,,,9.14
1.15,1.16,11.5,,,,9.15
1.16,1.17,11.7,,,,9.16
1.17,1.19,11.8,,,,9.17
1.19,1.2,11.9,,,,9.19
1.2,1.21,12.1,,,,9.2
