Cycle,Time,Displacement,Tension,Resistance,Stutus
1,0.01,0,0.2,5.89,Stretching
1,0.01,0,0.1,5.95,Stretching
1,0.02,0.01,-0.1,5.89,Stretching
1,0.03,0.01,0.1,5.95,Stretching
1,0.04,0.03,0.3,5.95,Stretching
1,0.05,0.05,0.5,5.95,Stretching
1,0.07,0.05,0.7,5.95,Stretching
1,0.08,0.07,0.9,5.95,Stretching
1,0.09,0.09,1.1,5.95,Stretching
1,0.1,0.09,1.3,5.95,Stretching
1,0.12,0.11,1.3,6.01,Stretching
1,0.13,0.12,1.5,5.95,Stretching
1,0.14,0.13,1.6,5.95,Stretching
1,0.15,0.14,1.7,6.01,Stretching
1,0.17,0.15,1.8,5.95,Stretching
1,0.18,0.17,1.9,6.07,Stretching
1,0.19,0.18,1.9,6.01,Stretching
1,0.2,0.19,2,6.01,Stretching
1,0.22,0.2,2.2,6.01,Stretching
1,0.23,0.22,2.6,6.01,Stretching
1,0.24,0.23,2.5,6.07,Stretching
1,0.25,0.24,2.6,6.01,Stretching
1,0.26,0.25,3,6.01,Stretching
1,0.28,0.27,3,6.07,Stretching
1,0.29,0.28,3.1,6.07,Stretching
1,0.3,0.29,3.2,6.07,Stretching
1,0.31,0.3,3.2,6.07,Stretching
1,0.33,0.32,3.6,6.13,Stretching
1,0.34,0.33,3.6,6.13,Stretching
1,0.35,0.35,3.5,6.13,Stretching
1,0.36,0.36,3.7,6.13,Stretching
1,0.38,0.37,3.7,6.13,Stretching
1,0.39,0.38,3.8,6.19,Stretching
1,0.4,0.4,4.1,6.19,Stretching
1,0.41,0.4,4.2,6.19,Stretching
1,0.43,0.41,4.1,6.25,Stretching
1,0.44,0.44,4.3,6.25,Stretching
1,0.45,0.45,4.6,6.25,Stretching
1,0.46,0.45,4.8,6.19,Stretching
1,0.47,0.47,5.1,6.25,Stretching
1,0.49,0.48,5.4,6.3,Stretching
1,0.5,0.5,5.2,6.3,Stretching
1,0.51,0.5,5.4,6.3,Stretching
1,0.52,0.51,5.7,6.3,Stretching
1,0.54,0.53,5.7,6.3,Stretching
1,0.55,0.55,5.8,6.3,Stretching
1,0.56,0.55,6,6.42,Stretching
1,0.57,0.56,6.1,6.42,Stretching
1,0.59,0.58,6.3,6.42,Stretching
1,0.6,0.6,6.4,6.42,Stretching
1,0.61,0.61,6.4,6.54,Stretching
1,0.62,0.62,6.5,6.48,Stretching
1,0.64,0.63,6.7,6.54,Stretching
1,0.65,0.65,6.7,6.54,Stretching
1,0.66,0.66,7,6.54,Stretching
1,0.67,0.68,7.3,6.6,Stretching
1,0.69,0.69,7.4,6.6,Stretching
1,0.7,0.7,7.3,6.66,Stretching
1,0.71,0.71,7.5,6.66,Stretching
1,0.72,0.72,7.4,6.66,Stretching
1,0.74,0.74,7.5,6.66,Stretching
1,0.75,0.75,8.1,6.66,Stretching
1,0.76,0.76,8.1,6.72,Stretching
1,0.77,0.77,8,6.72,Stretching
1,0.78,0.79,8.3,6.78,Stretching
1,0.8,0.8,8.6,6.78,Stretching
1,0.81,0.81,8.7,6.78,Stretching
1,0.82,0.83,8.9,6.84,Stretching
1,0.83,0.83,9,6.84,Stretching
1,0.85,0.85,8.9,6.84,Stretching
1,0.86,0.86,9,6.9,Stretching
1,0.87,0.87,9.1,6.96,Stretching
1,0.88,0.88,8.9,6.96,Stretching
1,0.9,0.9,9,7.02,Stretching
1,0.91,0.91,9.6,7.02,Stretching
1,0.92,0.92,10,7.08,Stretching
1,0.93,0.93,9.9,7.15,Stretching
1,0.95,0.95,9.8,7.15,Stretching
1,0.96,0.96,10.1,7.21,Stretching
1,0.97,0.98,10.1,7.21,Stretching
1,0.98,0.98,10.2,7.21,Stretching
1,0.99,1,10.6,7.21,Stretching
1,1.01,1.01,10.4,7.39,Stretching
1,1.02,1.02,10.5,7.33,Stretching
1,1.03,1.03,10.8,7.33,Stretching
1,1.04,1.05,10.7,7.39,Stretching
1,1.05,1.07,10.9,7.39,Stretching
1,1.07,1.08,11.1,7.45,Stretching
1,1.08,1.09,11,7.45,Stretching
1,1.09,1.11,11.2,7.45,Stretching
1,1.11,1.11,11.3,7.51,Stretching
1,1.12,1.12,11.5,7.51,Stretching
1,1.13,1.14,11.7,7.58,Stretching
1,1.14,1.15,11.6,7.64,Stretching
1,1.15,1.16,11.5,7.7,Stretching
1,1.17,1.18,11.6,7.7,Stretching
1,1.18,1.19,11.9,7.76,Stretching
1,1.19,1.2,12,7.82,Stretching
1,1.2,1.22,11.9,7.82,Stretching
1,1.22,1.23,12.1,7.89,Stretching
1,1.23,1.24,12.4,7.89,Stretching
1,1.24,1.25,12.7,8.01,Stretching
1,1.25,1.27,12.7,8.01,Stretching
1,1.27,1.28,12.8,8.01,Stretching
1,1.28,1.29,13.2,8.01,Stretching
1,1.29,1.31,13.1,8.08,Stretching
1,1.3,1.32,12.8,8.08,Stretching
1,1.32,1.34,13,8.14,Stretching
1,1.33,1.35,13.2,8.2,Stretching
1,1.34,1.36,13.1,8.27,Stretching
1,1.35,1.37,13.3,8.33,Stretching
1,1.37,1.38,13.5,8.33,Stretching
1,1.38,1.39,13.6,8.46,Stretching
1,1.39,1.41,13.7,8.58,Stretching
1,1.4,1.42,13.8,8.58,Stretching
1,1.41,1.44,13.8,8.65,Stretching
1,1.43,1.45,13.8,8.71,Stretching
1,1.44,1.47,13.9,8.78,Stretching
1,1.45,1.48,14.3,8.71,Stretching
1,1.46,1.49,14.3,8.78,Stretching
1,1.48,1.5,14.1,8.84,Stretching
1,1.49,1.51,14.1,8.97,Stretching
1,1.5,1.52,14.1,8.97,Stretching
1,1.51,1.54,14.3,9.04,Stretching
1,1.52,1.55,14.3,9.17,Stretching
1,1.54,1.57,14.4,9.17,Stretching
1,1.55,1.58,14.7,9.3,Stretching
1,1.56,1.59,14.9,9.43,Stretching
1,1.58,1.6,15,9.43,Stretching
1,1.59,1.61,15,9.5,Stretching
1,1.6,1.63,15,9.43,Stretching
1,1.61,1.64,15.2,9.5,Stretching
1,1.63,1.65,15.3,9.5,Stretching
1,1.64,1.67,15.4,9.5,Stretching
1,1.65,1.68,15.3,9.57,Stretching
1,1.66,1.69,15.5,9.63,Stretching
1,1.67,1.71,15.6,9.7,Stretching
1,1.69,1.72,15.6,9.7,Stretching
1,1.7,1.73,15.6,9.83,Stretching
1,1.71,1.75,16.1,9.97,Stretching
1,1.72,1.75,16.1,9.97,Stretching
1,1.74,1.76,16.2,10.04,Stretching
1,1.75,1.78,16.3,10.04,Stretching
1,1.76,1.79,16.3,10.04,Stretching
1,1.77,1.8,16.4,10.04,Stretching
1,1.79,1.82,16.4,10.1,Stretching
1,1.8,1.83,16.4,10.1,Stretching
1,1.81,1.84,16.5,10.24,Stretching
1,1.82,1.86,16.8,10.17,Stretching
1,1.84,1.86,16.9,10.31,Stretching
1,1.85,1.88,16.7,10.31,Stretching
1,1.86,1.9,17,10.31,Stretching
1,1.87,1.9,17.1,10.44,Stretching
1,1.88,1.92,17,10.38,Stretching
1,1.9,1.93,16.8,10.51,Stretching
1,1.91,1.95,17,10.58,Stretching
1,1.92,1.96,17.4,10.72,Stretching
1,1.93,1.97,17.6,10.72,Stretching
1,1.95,1.98,17.7,10.72,Stretching
1,1.96,1.99,17.8,10.72,Stretching
1,1.97,2.01,17.7,10.93,Stretching
1,1.98,2.02,17.5,10.93,Stretching
1,2,2.03,17.5,11,Stretching
1,2.01,2.04,17.7,11.07,Stretching
1,2.02,2.06,17.9,11.14,Stretching
1,2.03,2.07,17.9,11.14,Stretching
1,2.05,2.08,18,11.21,Stretching
1,2.06,2.1,18.2,11.21,Stretching
1,2.07,2.11,18.2,11.21,Stretching
1,2.08,2.12,18.2,11.28,Stretching
1,2.09,2.13,18.2,11.28,Stretching
1,2.11,2.14,18.6,11.28,Stretching
1,2.12,2.16,18.6,11.28,Stretching
1,2.13,2.17,18.4,11.35,Stretching
1,2.14,2.18,18.4,11.35,Stretching
1,2.16,2.19,18.7,11.28,Stretching
1,2.17,2.21,18.7,11.28,Stretching
1,2.18,2.22,18.8,11.35,Stretching
1,2.19,2.23,18.7,11.49,Stretching
1,2.21,2.25,18.9,11.56,Stretching
1,2.22,2.26,19,11.56,Stretching
1,2.23,2.27,19.2,11.64,Stretching
1,2.24,2.29,19.3,11.64,Stretching
1,2.26,2.3,19.4,11.71,Stretching
1,2.27,2.31,19.6,11.78,Stretching
1,2.28,2.33,19.7,11.78,Stretching
1,2.29,2.34,19.5,11.85,Stretching
1,2.3,2.35,19.5,11.92,Stretching
1,2.32,2.37,19.6,12,Stretching
1,2.33,2.38,19.6,12,Stretching
1,2.34,2.39,19.6,12.07,Stretching
1,2.35,2.4,19.9,12.21,Stretching
1,2.37,2.42,20,12.14,Stretching
1,2.38,2.43,19.9,12.21,Stretching
1,2.39,2.44,20.1,12.21,Stretching
1,2.4,2.46,20.2,12.21,Stretching
1,2.42,2.47,20.4,12.29,Stretching
1,2.43,2.48,20.3,12.29,Stretching
1,2.44,2.49,20.3,12.36,Stretching
1,2.45,2.5,20.6,12.29,Stretching
1,2.46,2.52,20.7,12.43,Stretching
1,2.48,2.53,20.6,12.43,Stretching
