Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,
0,8.05,30.6,,,,,,8.03,,16.03,4.01,4.1
0,8.05,30.8,,,,,,8.03,,16.03,4.01,4.1
0.01,8.06,30.8,,,,,,8.04,,16.04,4.01,3.9
0.02,8.07,30.7,,,,,,8.05,,16.05,4.03,3.9
0.03,8.08,30.7,,,,,,8.06,,16.07,4.04,4.1
0.05,8.09,30.7,,,,,,8.08,,16.08,4.05,4.2
0.06,8.1,30.8,,,,,,8.09,,16.09,4.07,4.5
0.07,8.12,30.9,,,,,,8.1,,16.1,4.08,4.6
0.08,8.13,31.2,,,,,,8.11,,16.11,4.09,4.6
0.1,8.14,31.5,,,,,,8.13,,16.13,4.1,4.8
0.11,8.15,31.5,,,,,,8.14,,16.14,4.11,4.7
0.12,8.17,31.7,,,,,,8.15,,16.15,4.13,4.8
0.13,8.18,32,,,,,,8.16,,16.16,4.14,4.8
0.14,8.19,32,,,,,,8.17,,16.18,4.16,4.9
0.16,8.21,32.2,,,,,,8.19,,16.19,4.17,5.1
0.17,8.22,32,,,,,,8.2,,16.2,4.18,5.6
0.18,8.23,31.8,,,,,,8.21,,16.21,4.2,5.6
0.19,8.25,32.2,,,,,,8.22,,16.23,4.21,5.4
0.21,8.26,32.5,,,,,,8.24,,16.24,4.22,5.6
0.22,8.27,32.8,,,,,,8.25,,16.25,4.23,5.9
0.23,8.28,32.7,,,,,,8.26,,16.26,4.25,5.9
0.24,8.29,32.8,,,,,,8.27,,16.28,4.26,6
0.26,8.31,32.6,,,,,,8.29,,16.29,4.26,6.1
0.27,8.32,32.5,,,,,,8.3,,16.3,4.28,6.1
0.28,8.33,32.8,,,,,,8.31,,16.31,4.29,6.1
0.29,8.35,33.1,,,,,,8.32,,16.32,4.3,6.5
0.31,8.35,33,,,,,,8.34,,16.34,4.32,6.6
0.32,8.36,33,,,,,,8.35,,16.35,4.33,6.6
0.33,8.38,33.1,,,,,,8.36,,16.36,4.34,6.7
0.34,8.4,33.1,,,,,,8.37,,16.37,4.36,6.6
0.36,8.4,33.4,,,,,,8.39,,16.39,4.36,6.6
0.37,8.42,33.8,,,,,,8.4,,16.4,4.38,6.8
0.38,8.43,33.6,,,,,,8.41,,16.41,4.39,6.9
0.39,8.44,33.7,,,,,,8.42,,16.42,4.4,7
0.4,8.46,33.7,,,,,,8.43,,16.44,4.42,7.2
0.42,8.47,33.7,,,,,,8.45,,16.45,4.43,7.1
0.43,8.48,33.8,,,,,,8.46,,16.46,4.44,7.2
0.44,8.5,33.7,,,,,,8.47,,16.47,4.46,7.2
0.45,8.51,33.9,,,,,,8.48,,16.49,4.47,7.2
0.47,8.52,34.3,,,,,,8.5,,16.5,4.48,7.2
0.48,8.53,34.4,,,,,,8.51,,16.51,4.5,7.2
0.49,8.55,34.3,,,,,,8.52,,16.52,4.51,7.2
0.5,8.56,34.3,,,,,,8.53,,16.53,4.52,7.5
0.52,8.57,34.7,,,,,,8.55,,16.55,4.53,7.9
0.53,8.59,34.8,,,,,,8.56,,16.56,4.55,7.8
0.54,8.6,34.7,,,,,,8.57,,16.57,4.56,7.9
0.55,8.6,34.7,,,,,,8.58,,16.58,4.57,7.9
0.57,8.62,34.9,,,,,,8.6,,16.6,4.59,7.9
0.58,8.64,34.9,,,,,,8.61,,16.61,4.6,8.1
0.59,8.65,35.3,,,,,,8.62,,16.62,4.61,8.2
0.6,8.65,35.3,,,,,,8.63,,16.63,4.63,8.2
0.61,8.67,35.2,,,,,,8.64,,16.65,4.64,8.3
0.63,8.68,35.1,,,,,,8.66,,16.66,4.65,8.4
0.64,8.69,34.9,,,,,,8.67,,16.67,4.66,8.2
0.65,8.71,35.3,,,,,,8.68,,16.68,4.68,8.3
0.66,8.72,35.7,,,,,,8.69,,16.69,4.69,8.3
0.68,8.73,35.7,,,,,,8.71,,16.71,4.71,8.5
0.69,8.75,35.6,,,,,,8.72,,16.72,4.72,8.6
0.7,8.76,35.6,,,,,,8.73,,16.73,4.73,8.6
0.71,8.77,35.7,,,,,,8.74,,16.75,4.74,8.6
0.73,8.79,35.8,,,,,,8.76,,16.76,4.76,8.7
0.74,8.8,35.9,,,,,,8.77,,16.77,4.77,9
0.75,8.81,35.6,,,,,,8.78,,16.78,4.78,9.1
0.76,8.83,35.7,,,,,,8.79,,16.79,4.8,9.3
0.78,8.84,35.8,,,,,,8.81,,16.81,4.81,9.3
0.79,8.85,35.9,,,,,,8.82,,16.82,4.82,9.2
0.8,8.86,36,,,,,,8.83,,16.83,4.84,9.5
0.81,8.88,36.1,,,,,,8.84,,16.84,4.86,9.6
0.82,8.89,36.3,,,,,,8.85,,16.86,4.86,9.6
0.84,8.9,36.4,,,,,,8.87,,16.87,4.88,9.8
0.85,8.92,36.5,,,,,,8.88,,16.88,4.9,9.9
0.86,8.93,36.6,,,,,,8.89,,16.89,4.91,9.9
0.87,8.94,36.9,,,,,,8.9,,16.9,4.92,10.1
0.89,8.96,36.9,,,,,,8.92,,16.92,4.94,9.8
0.9,8.97,36.7,,,,,,8.93,,16.93,4.95,9.9
0.91,8.98,36.8,,,,,,8.94,,16.94,4.96,10.1
0.92,9,37,,,,,,8.95,,16.95,4.98,10
0.94,9.01,37.3,,,,,,8.97,,16.97,4.99,10.1
0.95,9.02,37.4,,,,,,8.98,,16.98,5,10.3
0.96,9.03,37.3,,,,,,8.99,,16.99,5.02,10.3
0.97,9.05,37.3,,,,,,9,,17,5.03,10.2
0.99,9.06,37.4,,,,,,9.02,,17.02,5.05,10.2
1,9.07,37.3,,,,,,9.03,,17.03,5.06,10.4
1.01,9.09,37.3,,,,,,9.04,,17.04,5.07,10.7
