Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,,,,,,
8.05,8.05,30.6,,,,,,8.03,,16.03,4.01,4.1,,,8.05,8.05,30.6
8.05,8.05,30.8,,,,,,8.03,,16.03,4.01,4.1,,,8.05,8.05,30.8
8.05,8.06,30.8,,,,,,8.04,,16.04,4.01,3.9,,,8.05,8.06,30.8
8.06,8.07,30.7,,,,,,8.05,,16.05,4.03,3.9,,,8.06,8.07,30.7
8.07,8.08,30.7,,,,,,8.06,,16.07,4.04,4.1,,,8.07,8.08,30.7
8.08,8.09,30.7,,,,,,8.08,,16.08,4.05,4.2,,,8.08,8.09,30.7
8.09,8.1,30.8,,,,,,8.09,,16.09,4.07,4.5,,,8.09,8.1,30.8
8.1,8.12,30.9,,,,,,8.1,,16.1,4.08,4.6,,,8.1,8.12,30.9
8.12,8.13,31.2,,,,,,8.11,,16.11,4.09,4.6,,,8.12,8.13,31.2
8.13,8.14,31.5,,,,,,8.13,,16.13,4.1,4.8,,,8.13,8.14,31.5
8.14,8.15,31.5,,,,,,8.14,,16.14,4.11,4.7,,,8.14,8.15,31.5
8.15,8.17,31.7,,,,,,8.15,,16.15,4.13,4.8,,,8.15,8.17,31.7
8.17,8.18,32,,,,,,8.16,,16.16,4.14,4.8,,,8.17,8.18,32
8.18,8.19,32,,,,,,8.17,,16.18,4.16,4.9,,,8.18,8.19,32
8.19,8.21,32.2,,,,,,8.19,,16.19,4.17,5.1,,,8.19,8.21,32.2
8.21,8.22,32,,,,,,8.2,,16.2,4.18,5.6,,,8.21,8.22,32
8.22,8.23,31.8,,,,,,8.21,,16.21,4.2,5.6,,,8.22,8.23,31.8
8.23,8.25,32.2,,,,,,8.22,,16.23,4.21,5.4,,,8.23,8.25,32.2
8.25,8.26,32.5,,,,,,8.24,,16.24,4.22,5.6,,,8.25,8.26,32.5
8.26,8.27,32.8,,,,,,8.25,,16.25,4.23,5.9,,,8.26,8.27,32.8
8.27,8.28,32.7,,,,,,8.26,,16.26,4.25,5.9,,,8.27,8.28,32.7
8.28,8.29,32.8,,,,,,8.27,,16.28,4.26,6,,,8.28,8.29,32.8
8.29,8.31,32.6,,,,,,8.29,,16.29,4.26,6.1,,,8.29,8.31,32.6
8.31,8.32,32.5,,,,,,8.3,,16.3,4.28,6.1,,,8.31,8.32,32.5
8.32,8.33,32.8,,,,,,8.31,,16.31,4.29,6.1,,,8.32,8.33,32.8
8.33,8.35,33.1,,,,,,8.32,,16.32,4.3,6.5,,,8.33,8.35,33.1
8.35,8.35,33,,,,,,8.34,,16.34,4.32,6.6,,,8.35,8.35,33
8.35,8.36,33,,,,,,8.35,,16.35,4.33,6.6,,,8.35,8.36,33
8.36,8.38,33.1,,,,,,8.36,,16.36,4.34,6.7,,,8.36,8.38,33.1
8.38,8.4,33.1,,,,,,8.37,,16.37,4.36,6.6,,,8.38,8.4,33.1
8.4,8.4,33.4,,,,,,8.39,,16.39,4.36,6.6,,,8.4,8.4,33.4
8.4,8.42,33.8,,,,,,8.4,,16.4,4.38,6.8,,,8.4,8.42,33.8
8.42,8.43,33.6,,,,,,8.41,,16.41,4.39,6.9,,,8.42,8.43,33.6
8.43,8.44,33.7,,,,,,8.42,,16.42,4.4,7,,,8.43,8.44,33.7
8.44,8.46,33.7,,,,,,8.43,,16.44,4.42,7.2,,,8.44,8.46,33.7
8.46,8.47,33.7,,,,,,8.45,,16.45,4.43,7.1,,,8.46,8.47,33.7
