Pre,Displacement,Tension,Resistance,Stutus,,RAW_DATA,Cycle,Time(s),Displacement(mm),Tension(N),Resistance(ohm),Stutus
0,0,-0.1,,,,,2,0.13,0,-0.1,38.83,Stretching
0,0,0,,,,,2,0.14,0,0,38.83,Stretching
0,0.01,-0.1,,,,,2,0.15,0.01,-0.1,38.83,Stretching
0.01,0.03,0,,,,,2,0.16,0.03,0,38.83,Stretching
0.03,0.04,0,,,,,2,0.17,0.04,0,38.28,Stretching
0.04,0.05,0,,,,,2,0.19,0.05,0,38.28,Stretching
0.05,0.06,0.1,,,,,2,0.2,0.06,0.1,39.37,Stretching
0.06,0.08,0.4,,,,,2,0.21,0.08,0.4,38.28,Stretching
0.08,0.09,0.4,,,,,2,0.22,0.09,0.4,38.28,Stretching
0.09,0.1,0.2,,,,,2,0.23,0.1,0.2,38.83,Stretching
0.1,0.12,0.2,,,,,2,0.25,0.12,0.2,38.83,Stretching
0.12,0.12,0.4,,,,,2,0.26,0.12,0.4,38.28,Stretching
0.12,0.13,0.4,,,,,2,0.27,0.13,0.4,38.83,Stretching
0.13,0.15,0.7,,,,,2,0.28,0.15,0.7,38.83,Stretching
0.15,0.16,0.9,,,,,2,0.3,0.16,0.9,38.83,Stretching
0.16,0.17,1,,,,,2,0.31,0.17,1,39.37,Stretching
0.17,0.19,1,,,,,2,0.32,0.19,1,39.37,Stretching
0.19,0.2,1,,,,,2,0.33,0.2,1,38.83,Stretching
0.2,0.21,1,,,,,2,0.35,0.21,1,38.28,Stretching
0.21,0.22,0.9,,,,,2,0.36,0.22,0.9,38.83,Stretching
0.22,0.24,0.8,,,,,2,0.37,0.24,0.8,39.37,Stretching
0.24,0.25,1,,,,,2,0.38,0.25,1,38.83,Stretching
0.25,0.26,1,,,,,2,0.4,0.26,1,38.28,Stretching
0.26,0.27,1.1,,,,,2,0.41,0.27,1.1,39.37,Stretching
0.27,0.29,1.7,,,,,2,0.42,0.29,1.7,38.83,Stretching
0.29,0.3,1.9,,,,,2,0.43,0.3,1.9,38.83,Stretching
0.3,0.31,1.6,,,,,2,0.45,0.31,1.6,37.74,Stretching
0.31,0.32,1.4,,,,,2,0.46,0.32,1.4,38.83,Stretching
0.32,0.34,1.6,,,,,2,0.47,0.34,1.6,38.83,Stretching
0.34,0.35,1.7,,,,,2,0.48,0.35,1.7,38.83,Stretching
0.35,0.37,1.9,,,,,2,0.49,0.37,1.9,38.83,Stretching
0.37,0.37,2.1,,,,,2,0.51,0.37,2.1,38.83,Stretching
0.37,0.39,1.9,,,,,2,0.52,0.39,1.9,38.83,Stretching
0.39,0.4,2.1,,,,,2,0.53,0.4,2.1,38.83,Stretching
0.4,0.41,2.3,,,,,2,0.54,0.41,2.3,38.83,Stretching
0.41,0.43,2.4,,,,,2,0.56,0.43,2.4,38.83,Stretching
0.43,0.44,2.4,,,,,2,0.57,0.44,2.4,38.83,Stretching
0.44,0.45,2.2,,,,,2,0.58,0.45,2.2,38.83,Stretching
0.45,0.46,2.4,,,,,2,0.59,0.46,2.4,38.83,Stretching
0.46,0.47,2.8,,,,,2,0.61,0.47,2.8,38.83,Stretching
0.47,0.49,2.6,,,,,2,0.62,0.49,2.6,38.83,Stretching
