Pre,Displacement,Tension
0,0,0.5
0,0.01,0.4
0.01,0.01,0.4
0.01,0.03,0.2
0.03,0.04,0.6
0.04,0.05,0.6
0.05,0.06,0.5
0.06,0.08,0.7
0.08,0.09,0.9
0.09,0.1,0.9
0.1,0.12,0.8
0.12,0.12,0.8
0.12,0.14,0.9
0.14,0.15,1
0.15,0.17,1.2
0.17,0.17,1.2
0.17,0.19,1.2
0.19,0.2,1.3
0.2,0.21,1.4
0.21,0.22,1.5
0.22,0.24,1.5
0.24,0.25,1.7
0.25,0.26,1.7
0.26,0.27,1.6
0.27,0.28,1.6
0.28,0.3,1.7
0.3,0.31,1.7
0.31,0.32,1.6
0.32,0.34,1.6
0.34,0.35,1.8
0.35,0.36,1.9
0.36,0.37,2.1
0.37,0.39,2.2
0.39,0.4,2.3
0.4,0.41,2.2
0.41,0.43,2.3
0.43,0.44,2.6
0.44,0.45,2.5
0.45,0.46,2.5
0.46,0.47,2.6
0.47,0.49,2.7
0.49,0.5,2.7
0.5,0.51,3
0.51,0.52,3.1
0.52,0.54,3.1
0.54,0.55,3
0.55,0.56,3
0.56,0.57,3.2
0.57,0.59,3.4
0.59,0.6,3.4
0.6,0.61,3.5
0.61,0.63,3.6
0.63,0.64,3.6
0.64,0.65,3.1
0.65,0.67,3.3
0.67,0.68,3.6
0.68,0.7,3.7
0.7,0.71,3.7
0.71,0.72,3.9
0.72,0.74,3.8
0.74,0.75,3.9
0.75,0.76,4
0.76,0.77,4
0.77,0.79,4.2
0.79,0.8,4.2
0.8,0.81,4.3
0.81,0.83,4.5
0.83,0.83,4.5
0.83,0.85,4.5
0.85,0.86,4.4
0.86,0.88,4.5
0.88,0.88,4.7
0.88,0.9,4.8
0.9,0.91,4.9
0.91,0.93,4.7
0.93,0.94,4.7
0.94,0.95,5
0.95,0.96,4.9
0.96,0.98,4.9
0.98,0.99,5.3
0.99,1,5.5
1,1.01,5.5
1.01,1.03,5.4
1.03,1.04,5.7
1.04,1.05,5.6
1.05,1.07,5.3
1.07,1.08,5.5
1.08,1.09,5.5
1.09,1.11,5.7
1.11,1.12,5.7
1.12,1.13,5.9
1.13,1.15,6
1.15,1.16,6.1
1.16,1.17,6.1
1.17,1.19,6.1
1.19,1.2,6.1
1.2,1.22,6.1
1.22,1.23,6.3
1.23,1.25,6
1.25,1.25,6.2
1.25,1.27,6.5
1.27,1.28,6.5
1.28,1.29,6.5
1.29,1.31,6.5
1.31,1.33,6.7
1.33,1.34,6.8
1.34,1.35,7
1.35,1.36,7.1
1.36,1.37,7
1.37,1.38,7
1.38,1.4,7.1
1.4,1.41,7.4
1.41,1.42,7.3
1.42,1.43,7.4
1.43,1.45,7.4
1.45,1.46,7.4
1.46,1.48,7.4
1.48,1.49,7.4
1.49,1.5,7.5
1.5,1.51,7.7
1.51,1.53,7.8
1.53,1.54,8
1.54,1.55,7.7
1.55,1.57,7.6
1.57,1.58,8
1.58,1.59,8.2
1.59,1.61,8.2
1.61,1.61,8.2
1.61,1.63,8
1.63,1.65,7.9
1.65,1.65,8.1
1.65,1.66,8.3
1.66,1.68,8.4
1.68,1.69,8.3
1.69,1.71,8.3
1.71,1.72,8.6
1.72,1.73,8.9
1.73,1.75,8.9
1.75,1.76,8.8
1.76,1.77,9.2
1.77,1.78,8.8
1.78,1.8,8.8
1.8,1.81,9.4
1.81,1.82,9.3
1.82,1.84,9.1
1.84,1.85,9.2
1.85,1.86,9.2
1.86,1.88,9.4
1.88,1.88,9.5
1.88,1.9,9.2
1.9,1.91,9.2
1.91,1.92,9.6
1.92,1.93,10
1.93,1.95,9.7
1.95,1.97,9.8
1.97,1.98,9.8
1.98,1.98,9.8
1.98,2.01,10
2.01,2.02,9.9
2.02,2.03,9.7
2.03,2.05,9.8
2.05,2.06,10
2.06,2.07,10
2.07,2.09,9.9
2.09,2.1,10.1
2.1,2.11,10
2.11,2.13,10.1
2.13,2.14,10.3
2.14,2.15,10.2
2.15,2.17,10.3
2.17,2.18,10.5
2.18,2.19,10.4
2.19,2.21,10.4
2.21,2.22,10.7
2.22,2.23,10.8
2.23,2.25,10.8
2.25,2.26,10.7
2.26,2.27,10.9
2.27,2.29,11.1
2.29,2.31,11
2.31,2.32,11
2.32,2.33,10.9
2.33,2.34,11
2.34,2.35,11.4
2.35,2.37,11.3
2.37,2.38,11.6
2.38,2.39,11.8
2.39,2.4,11.8
2.4,2.42,11.7
2.42,2.43,11.6
2.43,2.44,11.6
2.44,2.46,11.7
2.46,2.47,11.8
2.47,2.48,11.9
2.48,2.5,11.9
2.5,2.51,12.1
2.51,2.52,12.1
2.52,2.53,12.1
2.53,2.55,12.2
2.55,2.56,12.3
2.56,2.57,12.1
2.57,2.59,12.1
2.59,2.6,12.6
2.6,2.61,12.8
2.61,2.62,12.7
2.62,2.64,12.9
2.64,2.65,13.1
2.65,2.66,12.9
2.66,2.67,12.9
2.67,2.69,13.1
2.69,2.7,13.3
2.7,2.71,13.2
2.71,2.73,13.2
2.73,2.74,13.4
2.74,2.76,13.5
2.76,2.77,13.4
2.77,2.78,13.6
2.78,2.8,13.6
2.8,2.81,13.8
2.81,2.82,13.9
